state,action_0,action_1,action_2,action_3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,-0.42393493395270915,-1.661844635982128,-1.3762138164000006,-1.4000000000000004
4,0.6550095738607952,-1.6800000000000004,-1.6977572736453976,-1.7789495947650522
5,1.9672252063772346,-1.4297376756355968,-1.1000000000000005,-1.2000000000000002
6,1.7517609363158488,-2.1700000000000004,-2.200000000000001,-2.646680243131266
7,1.4183852731029505,-2.1700000000000004,-1.990000000000001,-2.1000000000000005
8,1.4889949836922536,-1.6154088078619693,-1.4000000000000004,-1.5000000000000004
9,8.11994306327228,-3.2800000000000007,-3.2770738059056796,-3.200000000000001
10,8.34066103418867,-2.74666910544097,-2.6920000000000006,-2.8000000000000007
11,9.626251349887397,-2.8700000000000006,-2.6791100000000005,-2.8000000000000007
12,2.8540496047043407,-0.6300000000000001,-0.5000000000000001,-0.5074380210858846
13,4.005214181041309,-0.42000000000000004,-0.4000000000000001,-0.48151519651149066
14,3.2023254754513837,-0.7440693460815955,-0.9242056055414849,-0.8000000000000002
15,-0.9614343418712087,-1.5500000000000003,-1.4000000000000004,-1.7539171307660022
16,2.6929916159434963,-0.7767674421716306,-0.6000000000000001,-0.6000000000000001
17,5.2728022688235106,-0.9300000000000002,-1.0382579732385042,-0.9000000000000001
18,-2.326845152868024,-2.4600000000000004,-2.963100517648691,-2.8000000000000007
19,-0.2193623253774797,-2.7104074401171387,-2.1000000000000005,-2.6893025467451346
20,6.181782788504628,-1.6400000000000001,-1.3671088306907417,-2.076712562136332
21,-4.770330822395732,-5.580854875102789,-5.179179000000003,-5.0
22,3.6075139468451143,-2.7168714323792362,-2.774038222461565,-2.661871432379236
23,-0.9682130683772382,-3.034597280322503,-2.8000000000000007,-3.0
24,7.141525180014583,-0.3729877921525703,-0.6000000000000001,-0.8872923923525807
25,8.213279207900722,-0.8401000000000003,-0.5647008986451162,-0.6000000000000001
26,9.220973527222489,-0.34444678263660367,-0.1256626565426393,-0.6000000000000001
27,1.2740786019430268,-1.617959578499382,-1.2000000000000002,-1.2000000000000002
28,6.839833634562187,-0.6855488941701368,-0.5585493829750758,-1.0899858448603794
29,4.861958188597883,-1.6400000000000001,-1.5000000000000004,-1.6000000000000003
30,-0.17973170022426652,-1.53,-1.6000000000000003,-1.5
31,3.242696690421522,-2.0349000000000004,-2.0000000000000004,-2.0
32,7.950681377505821,-2.55,-2.247183994245877,-2.451
33,-2.4826568178380453,-3.6600000000000006,-3.9626777784084677,-3.5929000000000006
34,6.08654425555561,-3.020844100766472,-2.9560000000000004,-3.000000000000001
35,4.738527914266392,-2.4400000000000004,-2.5,-2.4000000000000004
36,14.943120769884407,0.5925158154071855,-1.5000000000000004,-0.9036662038997793
