state,action_0,action_1,action_2,action_3
48,-0.21000000000000002,-0.21000000000000002,3.2698502832608005,0.0
49,-0.21000000000000002,0.0,0.8158605000000001,-0.143
50,-0.21000000000000002,-0.21000000000000002,0.8130000000000002,0.0
51,-0.31000000000000005,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0
53,-0.5890000000000002,-0.31000000000000005,0.3708,0.0
54,-0.41,-0.7689999999999999,0.22000000000000003,0.0
55,-0.41,-0.41,0.18309999999999998,0.0
56,-0.41,-0.41,0.11398999999999998,0.0
57,-0.51,-0.51,0.020000000000000004,0.0
58,-0.51,-0.51,-0.041,0.0
59,-0.51,-0.51,-0.36821000000000015,-0.5
60,-0.31000000000000005,0.0,0.0,0.0
61,-0.5690000000000001,-0.31000000000000005,0.2,0.0
62,-0.31000000000000005,-0.31000000000000005,0.4831000000000001,0.0
63,-0.41,-0.41,0.22000000000000003,0.0
64,-0.41,0.0,0.0,0.0
65,-0.41,0.0,0.0,0.0
66,-0.51,0.0,0.0,0.0
67,-0.51,0.0,0.0,0.0
68,-0.51,-0.51,0.0,0.0
69,-0.61,-0.61,-0.1,0.0
70,0.0,0.0,0.0,0.0
71,-0.61,-0.61,-0.24100000000000005,-0.6000000000000001
72,-0.41,0.0,0.0,0.0
73,-0.41,-0.41,0.1,0.0
74,-0.41,-0.41,0.1,0.0
75,-0.51,-0.9690000000000001,0.020000000000000004,0.0
76,-0.51,-0.51,0.0,0.0
77,-0.51,0.0,0.0,0.0
78,-0.61,-0.61,-0.261,-0.6000000000000001
79,-0.61,-0.61,-0.1,-0.6000000000000001
80,-0.61,-0.61,-0.1,0.0
81,0.0,0.0,0.0,0.0
82,-0.71,-0.71,-0.44100000000000006,-0.7000000000000001
83,0.0,0.0,0.0,0.0
84,-0.9690000000000001,-0.51,0.0,0.0
85,-0.51,-0.51,0.0,0.0
86,-0.51,-0.51,-0.041,0.0
87,-0.61,0.0,0.0,0.0
88,-0.61,-0.61,-0.1,0.0
89,0.0,0.0,0.0,0.0
90,-0.71,-0.71,-0.2,0.0
91,0.0,0.0,0.0,0.0
92,-0.71,-0.71,-0.7169000000000001,-0.7000000000000001
93,0.0,0.0,0.0,0.0
94,-1.5390000000000001,-0.81,0.0,0.0
95,-0.81,-0.81,-0.30000000000000004,0.0
96,-0.31000000000000005,-0.5019000000000001,2.0352215599,0.0
97,-0.31000000000000005,-0.31000000000000005,1.1659559000000002,0.0
98,-0.31000000000000005,-0.31000000000000005,2.8113540000000006,0.0
99,-0.41,-0.41,0.5,0.0
100,-0.7789999999999999,-0.41,0.5,0.0
101,0.0,0.0,0.0,0.0
102,-0.51,-0.51,0.8400000000000001,0.0
103,-0.51,-0.51,0.7290000000000001,0.0
104,-0.51,-0.51,0.4,0.0
105,-0.61,-0.61,0.7597,-0.5700000000000001
106,-0.61,-0.61,0.30000000000000004,0.0
107,-0.61,-0.61,0.2889999999999999,0.0
108,-0.41,0.0,0.0,0.0
109,0.0,0.0,0.929,0.0
110,-0.41,-0.41,0.95,0.0
111,-0.51,-0.51,0.4,0.0
112,-0.51,-0.51,0.4,0.0
113,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0
115,-0.61,-0.61,0.30000000000000004,0.0
116,-0.61,0.0,0.0,0.0
117,0.0,0.0,0.0,0.0
118,-0.71,-0.71,0.2,0.0
119,-0.71,-0.71,0.44200000000000006,0.0
120,-0.51,-0.51,0.8369000000000001,0.0
121,-0.51,-0.51,0.9961000000000002,0.0
122,-0.51,-0.51,0.4,0.0
123,-0.61,-0.61,0.6400000000000001,0.0
124,-0.61,-0.61,0.5290000000000001,0.0
125,-0.61,0.0,0.0,0.0
126,-0.71,-0.71,0.2,0.0
127,-0.71,-0.71,0.2,0.0
128,-0.71,-0.71,0.2,0.0
129,-0.81,0.0,0.0,0.0
130,-0.81,0.0,0.0,0.0
131,-0.81,0.0,0.0,0.0
132,-0.61,-0.61,0.30000000000000004,0.0
133,-0.61,-0.61,0.5290000000000001,-0.6000000000000001
134,-0.61,0.0,0.0,0.0
135,-0.65,-0.71,0.2,-0.7000000000000001
136,0.0,0.0,0.17977999,0.0
137,-0.71,0.0,0.0,0.0
138,-0.81,-0.81,0.24000000000000005,0.0
139,-1.5390000000000001,-0.81,0.0,0.0
140,-0.81,-0.81,0.1,0.0
141,-0.91,0.0,0.0,0.0
142,-0.91,-0.91,0.0,0.0
143,-0.91,-1.729,0.0,0.0
144,-0.41,-0.41,6.60818778128811,0.0
145,-0.41,-0.41,1.7297500000000001,-0.5890000000000002
146,-0.859,-0.41,2.439,0.0
147,0.0,0.0,3.4834000000000005,0.0
148,-0.51,-0.51,2.6950920000000003,0.0
149,-0.51,-0.51,0.8,0.0
150,-0.61,0.0,0.0,0.0
151,-0.61,-0.61,2.6919883900000006,0.0
152,-0.61,-0.61,1.7491000000000003,0.0
